Site,Slope,Plot,Code,Elev,OM,Log_OM,N,Log_N,P_WB,Log_P_WB,P_SB,Log_P_SB,PH,Log_PH,K,Log_K,MG,Log_MG,CA,Log_CA,CA/MG,Log_CA/MG,CEC,Log_CEC,Prin1,Prin2,Light.umol,%HOR,%SEN,%ARA,%PHA
3,S,9,3S,612,1.8,0.588,65.6,4.184,2,0.693,4.9,1.589,7.2,1.974,12.5,2.526,542.4,6.296,96.8,4.573,0.178,-1.723,5,1.609,-1.804052561,-1.60446003,2015,0.5,0.0625,0.5,0.4375
3,S,10,3S,612,2,0.693,69.2,4.237,0.7,-0.357,8,2.079,7.2,1.974,13.6,2.61,725,6.586,136.8,4.919,0.189,-1.668,6.7,1.902,-1.700223247,-1.182848801,2002,0.4375,0.0625,0.125,0.0625
4,N,1,4N,804,2.2,0.788,73.8,4.301,0.6,-0.511,12.7,2.542,7.2,1.974,14.9,2.701,899.3,6.802,114.8,4.743,0.128,-2.058,8,2.079,-1.742399676,-0.505270275,1927.8,0.5625,0,0.0625,0.1875
4,N,2,4N,804,2.7,0.993,83.2,4.421,2.3,0.833,18.8,2.934,7.1,1.96,21.1,3.049,1199,7.089,136.1,4.913,0.114,-2.176,10.6,2.361,-1.016920801,0.157186951,1777,0.3125,0,0,0.0625
4,N,3,4N,804,3.6,1.281,101.2,4.617,0.2,-1.609,14.2,2.653,7.3,1.988,21,3.045,1099,7.002,111.5,4.714,0.101,-2.288,9.7,2.272,-1.446779021,0.320387026,1816.5,0.5,0,0.125,0
4,N,4,4N,804,4.2,1.435,113.8,4.734,0.9,-0.105,10.8,2.38,6.9,1.932,37.5,3.624,1001,6.909,221.8,5.402,0.222,-1.507,9.6,2.262,0.195326685,-0.467080593,615.8,0.5,0,0,0.3125
4,N,5,4N,804,2,0.693,69.4,4.24,0.9,-0.105,10.5,2.351,7.3,1.988,15.8,2.76,1175,7.069,79.2,4.372,0.067,-2.697,10.1,2.313,-2.395802228,0.374936488,1859.1,0.6875,0.125,0.0625,0.375
4,N,6,4N,804,3.4,1.224,98.4,4.589,0.5,-0.693,10.2,2.322,7.1,1.96,26.9,3.292,1221,7.107,162.4,5.09,0.133,-2.017,11,2.398,-0.895764624,0.113588632,1901.9,0.625,0,0,0.1875
4,N,7,4N,804,3.5,1.253,100.2,4.607,0.4,-0.916,10,2.303,7,1.946,22.8,3.127,965.9,6.873,156,5.05,0.162,-1.823,8.8,2.175,-0.636060261,-0.428419444,1880.1,0.9375,0.0625,0,0.3125
4,N,8,4N,804,2.6,0.956,82.8,4.416,6,1.792,4,1.386,7,1.946,11.5,2.442,361.6,5.891,82,4.407,0.227,-1.484,3.5,1.253,-0.638244581,-2.163991719,105.8,0.625,0.0625,0,0.0625
4,N,9,4N,804,3.2,1.163,93.4,4.537,0.2,-1.609,6.5,1.872,7.2,1.974,15,2.708,813.3,6.701,105,4.654,0.129,-2.047,7.3,1.988,-1.470191034,-0.502480216,118,0.5,0,0.0625,0
4,N,10,4N,804,2.4,0.875,78,4.357,0.5,-0.693,8,2.079,7.1,1.96,18.6,2.923,776.8,6.655,132.9,4.89,0.171,-1.766,7.1,1.96,-1.373215277,-0.978997381,268.8,0.1875,0,0,0
4,S,1,4S,820,1.6,0.47,61,4.111,0.3,-1.204,6.2,1.825,7.3,1.988,12.6,2.534,979.8,6.887,98.9,4.594,0.101,-2.293,8.6,2.152,-2.758611523,-0.437791818,1532.3,0.1875,0,0.0625,0.0625
4,S,2,4S,820,1.9,0.642,67.8,4.217,0.9,-0.105,10.3,2.332,7.2,1.974,19.9,2.991,981.4,6.889,118.4,4.774,0.121,-2.115,8.8,2.175,-1.941330256,-0.413289603,352.4,0.125,0,0,0
4,S,3,4S,820,1.6,0.47,61.6,4.121,0.3,-1.204,34.7,3.547,7.3,1.988,12.6,2.534,1102,7.005,91.6,4.517,0.083,-2.487,9.6,2.262,-2.602336341,0.032448167,1748.9,0.3125,0.0625,0,0.1875
4,S,4,4S,820,1.9,0.642,67.8,4.217,2,0.693,2,0.693,7.2,1.974,17.4,2.856,975.9,6.883,91.4,4.515,0.094,-2.368,8.6,2.152,-2.212947906,-0.331102337,1793.3,0.375,0,0,0.4375
4,S,5,4S,820,1.9,0.642,67.8,4.217,0.5,-0.693,14.2,2.653,7.2,1.974,15.2,2.721,958.8,6.866,107.8,4.68,0.112,-2.185,8.5,2.14,-2.050399512,-0.405506829,1575.1,0.375,0,0,0
4,S,6,4S,820,1.3,0.262,56.6,4.036,0.4,-0.916,6.6,1.887,7.3,1.988,12,2.485,720,6.579,98.9,4.594,0.137,-1.985,6.5,1.872,-2.787057998,-1.187801078,1647.2,0.4375,0,0,0.1875
4,S,7,4S,820,1,0,50,3.912,0.3,-1.204,6.6,1.887,7.3,1.988,19.3,2.96,1068,6.974,108.5,4.687,0.102,-2.287,9.4,2.241,-3.348531457,-0.581289576,1454.2,0.0625,0,0,0.0625
4,S,8,4S,820,4.4,1.482,118.2,4.772,0.3,-1.204,4.2,1.435,7.2,1.974,32.2,3.472,1298,7.169,109.2,4.693,0.084,-2.475,11.3,2.425,-1.160146589,0.691158212,1833.7,0.125,0,0,0
4,S,9,4S,820,3,1.099,90.4,4.504,0.1,-2.303,4.8,1.569,7.4,2.001,30.3,3.411,1007,6.915,201.1,5.304,0.2,-1.611,9.4,2.241,-1.719065831,-0.479426501,460.4,0.4375,0,0.125,0
4,S,10,4S,820,3.4,1.224,97.8,4.583,0.4,-0.916,4.6,1.526,6.9,1.932,22.7,3.122,1324,7.188,192.6,5.261,0.145,-1.928,12.1,2.493,-0.673256646,-0.047211078,1830.3,0.75,0,0,0.1875
5,X,1,5X,1038,5.1,1.629,132.6,4.887,0.4,-0.916,8.9,2.186,6.7,1.902,37.7,3.63,1051,6.957,174.4,5.161,0.166,-1.796,10.1,2.313,0.508935218,-0.210495466,1950.4,0.3125,0.375,0.0625,0.0625
5,X,2,5X,1038,7,1.946,169.4,5.132,0.8,-0.223,6.6,1.887,6.3,1.841,37.7,3.63,1229,7.114,200.3,5.3,0.163,-1.814,12.6,2.534,1.838278347,0.059030852,324,0.9375,0,0,0.25
